Time,Temp,Weather,Wind,Humidity,Barometer,Day
00:00,28 °C,Passing clouds.,7 km/h,94%,1012 mbar,"Fri, 3 Mar"
02:00,28 °C,Passing clouds.,7 km/h,94%,1011 mbar,"Fri, 3 Mar"
03:00,28 °C,Passing clouds.,7 km/h,89%,1010 mbar,"Fri, 3 Mar"
04:00,27 °C,Passing clouds.,7 km/h,94%,1010 mbar,"Fri, 3 Mar"
05:00,27 °C,Passing clouds.,No wind,94%,1009 mbar,"Fri, 3 Mar"
06:00,27 °C,Passing clouds.,7 km/h,94%,1010 mbar,"Fri, 3 Mar"
07:00,27 °C,Scattered clouds.,4 km/h,94%,1011 mbar,"Fri, 3 Mar"
08:00,28 °C,Scattered clouds.,6 km/h,94%,1011 mbar,"Fri, 3 Mar"
09:00,30 °C,Scattered clouds.,11 km/h,84%,1012 mbar,"Fri, 3 Mar"
10:00,31 °C,Partly sunny.,13 km/h,75%,1012 mbar,"Fri, 3 Mar"
11:00,32 °C,Partly sunny.,17 km/h,71%,1012 mbar,"Fri, 3 Mar"
12:00,32 °C,Partly sunny.,15 km/h,71%,1012 mbar,"Fri, 3 Mar"
13:00,33 °C,Partly sunny.,11 km/h,67%,1011 mbar,"Fri, 3 Mar"
14:00,34 °C,Partly sunny.,11 km/h,63%,1010 mbar,"Fri, 3 Mar"
00:00,29 °C,Passing clouds.,7 km/h,79%,1012 mbar,"Thu, 2 Mar"
02:00,28 °C,Passing clouds.,6 km/h,84%,1011 mbar,"Thu, 2 Mar"
03:00,27 °C,Passing clouds.,6 km/h,89%,1010 mbar,"Thu, 2 Mar"
04:00,26 °C,Passing clouds.,6 km/h,89%,1010 mbar,"Thu, 2 Mar"
05:00,26 °C,Passing clouds.,4 km/h,94%,1010 mbar,"Thu, 2 Mar"
06:00,26 °C,Passing clouds.,4 km/h,94%,1010 mbar,"Thu, 2 Mar"
07:00,26 °C,Passing clouds.,4 km/h,94%,1011 mbar,"Thu, 2 Mar"
08:00,27 °C,Scattered clouds.,4 km/h,94%,1011 mbar,"Thu, 2 Mar"
09:00,28 °C,Scattered clouds.,7 km/h,84%,1012 mbar,"Thu, 2 Mar"
10:00,30 °C,Partly sunny.,11 km/h,79%,1013 mbar,"Thu, 2 Mar"
11:00,31 °C,Partly sunny.,11 km/h,70%,1013 mbar,"Thu, 2 Mar"
12:00,33 °C,Partly sunny.,17 km/h,63%,1013 mbar,"Thu, 2 Mar"
13:00,33 °C,Partly sunny.,17 km/h,63%,1012 mbar,"Thu, 2 Mar"
14:00,33 °C,Partly sunny.,22 km/h,63%,1011 mbar,"Thu, 2 Mar"
15:00,34 °C,Scattered clouds.,20 km/h,59%,1010 mbar,"Thu, 2 Mar"
